image,dmos
i01_01_1.bmp,0.612698889
i01_01_2.bmp,0.618618889
i01_01_3.bmp,0.549382222
i01_01_4.bmp,0.486486667
i01_01_5.bmp,0.429428889
i01_02_1.bmp,0.669841111
i01_02_2.bmp,0.678678889
i01_02_3.bmp,0.598765556
i01_02_4.bmp,0.52381
i01_02_5.bmp,0.484567778
i01_03_1.bmp,0.530158889
i01_03_2.bmp,0.474474444
i01_03_3.bmp,0.411411111
i01_03_4.bmp,0.354937778
i01_03_5.bmp,0.301587778
i01_04_1.bmp,0.663492222
i01_04_2.bmp,0.63964
i01_04_3.bmp,0.585585556
i01_04_4.bmp,0.582582222
i01_04_5.bmp,0.52381
i01_05_1.bmp,0.657657778
i01_05_2.bmp,0.633633333
i01_05_3.bmp,0.564814444
i01_05_4.bmp,0.459876667
i01_05_5.bmp,0.348765556
i01_06_1.bmp,0.444444444
i01_06_2.bmp,0.432432222
i01_06_3.bmp,0.414414444
i01_06_4.bmp,0.387301111
i01_06_5.bmp,0.32716
i01_07_1.bmp,0.564814444
i01_07_2.bmp,0.527777778
i01_07_3.bmp,0.444444444
i01_07_4.bmp,0.358024444
i01_07_5.bmp,0.243826667
i01_08_1.bmp,0.576576667
i01_08_2.bmp,0.496913333
i01_08_3.bmp,0.387387778
i01_08_4.bmp,0.333333333
i01_08_5.bmp,0.234567778
i01_09_1.bmp,0.675925556
i01_09_2.bmp,0.574074444
i01_09_3.bmp,0.492063333
i01_09_4.bmp,0.312312222
i01_09_5.bmp,0.171171111
i01_10_1.bmp,0.663663333
i01_10_2.bmp,0.660661111
i01_10_3.bmp,0.546296667
i01_10_4.bmp,0.357357778
i01_10_5.bmp,0.231231111
I01_11_1.BMP,0.657143333
i01_11_2.bmp,0.630631111
i01_11_3.bmp,0.521604444
i01_11_4.bmp,0.408408889
i01_11_5.bmp,0.162162222
i01_12_1.bmp,0.660661111
i01_12_2.bmp,0.651651111
i01_12_3.bmp,0.468468889
i01_12_4.bmp,0.425925556
i01_12_5.bmp,0.381381111
I01_13_1.BMP,0.606606667
i01_13_2.bmp,0.434921111
i01_13_3.bmp,0.364197778
i01_13_4.bmp,0.351852222
i01_13_5.bmp,0.345345556
i01_14_1.bmp,0.632715556
i01_14_2.bmp,0.672672222
i01_14_3.bmp,0.63964
i01_14_4.bmp,0.617284444
i01_14_5.bmp,0.496732222
i01_15_1.bmp,0.314814444
i01_15_2.bmp,0.314285556
i01_15_3.bmp,0.345345556
i01_15_4.bmp,0.398147778
i01_15_5.bmp,0.432432222
i01_16_1.bmp,0.645062222
i01_16_2.bmp,0.672672222
i01_16_3.bmp,0.54321
i01_16_4.bmp,0.558642222
i01_16_5.bmp,0.466048889
i01_17_1.bmp,0.594594444
i01_17_2.bmp,0.735735556
i01_17_3.bmp,0.453453333
i01_17_4.bmp,0.693693333
i01_17_5.bmp,0.330158889
i01_18_1.bmp,0.513513333
i01_18_2.bmp,0.469135556
i01_18_3.bmp,0.419047778
i01_18_4.bmp,0.385802222
i01_18_5.bmp,0.37963
i01_19_1.bmp,0.660493333
i01_19_2.bmp,0.608024444
i01_19_3.bmp,0.564564444
i01_19_4.bmp,0.503086667
i01_19_5.bmp,0.438271111
i01_20_1.bmp,0.650793333
i01_20_2.bmp,0.648147778
i01_20_3.bmp,0.669753333
i01_20_4.bmp,0.564814444
i01_20_5.bmp,0.481481111
i01_21_1.bmp,0.633633333
i01_21_2.bmp,0.58642
i01_21_3.bmp,0.51952
i01_21_4.bmp,0.450793333
i01_21_5.bmp,0.339338889
i01_22_1.bmp,0.617284444
i01_22_2.bmp,0.576576667
i01_22_3.bmp,0.478395556
i01_22_4.bmp,0.351351111
i01_22_5.bmp,0.243826667
i01_23_1.bmp,0.698412222
i01_23_2.bmp,0.623456667
i01_23_3.bmp,0.641975556
i01_23_4.bmp,0.533951111
i01_23_5.bmp,0.267267778
i01_24_1.bmp,0.633633333
i01_24_2.bmp,0.62037
i01_24_3.bmp,0.567567778
i01_24_4.bmp,0.342342222
i01_24_5.bmp,0.051051111
I02_01_1.bmp,0.638095556
i02_01_2.bmp,0.593651111
i02_01_3.bmp,0.580246667
i02_01_4.bmp,0.466048889
i02_01_5.bmp,0.441441111
i02_02_1.bmp,0.67284
i02_02_2.bmp,0.672672222
i02_02_3.bmp,0.654321111
i02_02_4.bmp,0.588588889
i02_02_5.bmp,0.487654444
i02_03_1.bmp,0.533333333
i02_03_2.bmp,0.492492222
i02_03_3.bmp,0.426426667
i02_03_4.bmp,0.391975556
i02_03_5.bmp,0.324324444
i02_04_1.bmp,0.698412222
i02_04_2.bmp,0.684684444
i02_04_3.bmp,0.57716
i02_04_4.bmp,0.526984444
i02_04_5.bmp,0.47619
i02_05_1.bmp,0.679738889
i02_05_2.bmp,0.679012222
i02_05_3.bmp,0.603603333
i02_05_4.bmp,0.486486667
i02_05_5.bmp,0.37963
i02_06_1.bmp,0.506173333
i02_06_2.bmp,0.475308889
i02_06_3.bmp,0.414414444
i02_06_4.bmp,0.387301111
i02_06_5.bmp,0.345345556
i02_07_1.bmp,0.657143333
i02_07_2.bmp,0.62037
i02_07_3.bmp,0.418301111
i02_07_4.bmp,0.417417778
i02_07_5.bmp,0.31746
i02_08_1.bmp,0.678678889
i02_08_2.bmp,0.574074444
i02_08_3.bmp,0.504762222
i02_08_4.bmp,0.426426667
i02_08_5.bmp,0.336336667
i02_09_1.bmp,0.666666667
i02_09_2.bmp,0.612698889
i02_09_3.bmp,0.503086667
i02_09_4.bmp,0.405405556
i02_09_5.bmp,0.268518889
i02_10_1.bmp,0.666666667
i02_10_2.bmp,0.66358
i02_10_3.bmp,0.603603333
i02_10_4.bmp,0.388888889
i02_10_5.bmp,0.301587778
I02_11_1.BMP,0.657407778
i02_11_2.bmp,0.533951111
i02_11_3.bmp,0.33033
